NH3,NO2,PM10,Lat,Lon,Station
5.16,4.53,10.07,51.54052,5.85307,NL10131
5.79,4.23,,51.54052,5.85307,NL10131
5.79,3.87,13.814,51.54052,5.85307,NL10131
5.79,3.53,,51.54052,5.85307,NL10131
5.79,3.86,,51.54052,5.85307,NL10131
5.48,4.2,,51.54052,5.85307,NL10131
5.79,4.55,9.314,51.54052,5.85307,NL10131
6.1,4.51,15.686,51.54052,5.85307,NL10131
6.1,5.09,2.822,51.54052,5.85307,NL10131
6.41,5.47,,51.54052,5.85307,NL10131
6.73,6.07,7.814,51.54052,5.85307,NL10131
6.41,6.88,,51.54052,5.85307,NL10131
6.41,7.4,10.07,51.54052,5.85307,NL10131
6.41,6.95,0.698,51.54052,5.85307,NL10131
6.73,5.85,2.942,51.54052,5.85307,NL10131
6.41,5.03,10.07,51.54052,5.85307,NL10131
6.41,4.25,,51.54052,5.85307,NL10131
7.04,3.91,,51.54052,5.85307,NL10131
7.35,3.01,7.814,51.54052,5.85307,NL10131
6.73,2.71,6.314,51.54052,5.85307,NL10131
5.48,1.64,29.174,51.54052,5.85307,NL10131
4.54,2.48,4.946,51.54052,5.85307,NL10131
4.23,5.42,6.698,51.54052,5.85307,NL10131
4.12,3.77,14.942,51.54052,5.85307,NL10131
4.54,3.49,,51.54052,5.85307,NL10131
4.54,3.37,12.686,51.54052,5.85307,NL10131
4.23,3.38,19.814,51.54052,5.85307,NL10131
3.92,6.76,11.942,51.54052,5.85307,NL10131
4.23,10.1,10.07,51.54052,5.85307,NL10131
4.54,13.22,6.074,51.54052,5.85307,NL10131
4.85,15.03,-5.302,51.54052,5.85307,NL10131
4.85,15.48,11.942,51.54052,5.85307,NL10131
4.85,17.84,13.058,51.54052,5.85307,NL10131
5.16,17.2,8.198,51.54052,5.85307,NL10131
5.16,17.65,8.198,51.54052,5.85307,NL10131
5.16,17.43,19.814,51.54052,5.85307,NL10131
4.85,13.73,,51.54052,5.85307,NL10131
4.23,14.65,19.43,51.54052,5.85307,NL10131
4.54,13.7,11.57,51.54052,5.85307,NL10131
4.54,20.17,22.31,51.54052,5.85307,NL10131
4.54,18.15,13.058,51.54052,5.85307,NL10131
4.64,15.77,12.686,51.54052,5.85307,NL10131
4.85,12.83,14.558,51.54052,5.85307,NL10131
4.54,12.88,5.942,51.54052,5.85307,NL10131
4.23,8.14,8.198,51.54052,5.85307,NL10131
4.23,7.03,7.442,51.54052,5.85307,NL10131
4.23,6.67,4.442,51.54052,5.85307,NL10131
4.23,6.04,9.686,51.54052,5.85307,NL10131
4.23,5.57,8.198,51.54052,5.85307,NL10131
3.92,5.26,5.45,51.54052,5.85307,NL10131
4.07,6.9,8.942,51.54052,5.85307,NL10131
4.23,6.85,3.698,51.54052,5.85307,NL10131
4.23,7.76,12.686,51.54052,5.85307,NL10131
4.07,6.4,2.57,51.54052,5.85307,NL10131
4.23,5.9,1.07,51.54052,5.85307,NL10131
4.75,5.75,-1.174,51.54052,5.85307,NL10131
5.16,5.67,8.198,51.54052,5.85307,NL10131
5.48,6.27,3.326,51.54052,5.85307,NL10131
5.79,6.11,-4.546,51.54052,5.85307,NL10131
5.48,6.38,12.314,51.54052,5.85307,NL10131
4.85,6.94,-0.43,51.54052,5.85307,NL10131
4.54,6.3,,51.54052,5.85307,NL10131
3.92,5.13,5.942,51.54052,5.85307,NL10131
3.92,6.98,5.57,51.54052,5.85307,NL10131
3.92,7.21,1.442,51.54052,5.85307,NL10131
3.92,6.67,10.442,51.54052,5.85307,NL10131
3.6,6.11,15.314,51.54052,5.85307,NL10131
3.29,7.21,14.942,51.54052,5.85307,NL10131
3.6,10.86,13.442,51.54052,5.85307,NL10131
3.6,8.77,15.314,51.54052,5.85307,NL10131
3.6,6.48,16.058,51.54052,5.85307,NL10131
3.6,5.54,15.314,51.54052,5.85307,NL10131
3.6,4.99,20.558,51.54052,5.85307,NL10131
3.29,6.07,13.058,51.54052,5.85307,NL10131
3.29,5.13,8.198,51.54052,5.85307,NL10131
3.6,6.54,11.57,51.54052,5.85307,NL10131
3.6,8.07,6.314,51.54052,5.85307,NL10131
3.92,9.36,15.314,51.54052,5.85307,NL10131
3.92,8.95,17.93,51.54052,5.85307,NL10131
4.23,17.94,18.314,51.54052,5.85307,NL10131
4.23,22.12,18.314,51.54052,5.85307,NL10131
4.23,18.23,15.314,51.54052,5.85307,NL10131
4.23,16.35,,51.54052,5.85307,NL10131
4.23,13.05,18.314,51.54052,5.85307,NL10131
4.23,11.19,23.93,51.54052,5.85307,NL10131
4.23,8.01,18.686,51.54052,5.85307,NL10131
3.92,6.43,4.442,51.54052,5.85307,NL10131
3.6,5.74,11.57,51.54052,5.85307,NL10131
3.29,4.27,4.322,51.54052,5.85307,NL10131
3.29,3.37,3.326,51.54052,5.85307,NL10131
3.29,3.37,7.442,51.54052,5.85307,NL10131
2.98,3.08,5.942,51.54052,5.85307,NL10131
3.29,3.58,9.686,51.54052,5.85307,NL10131
3.29,4.06,-1.93,51.54052,5.85307,NL10131
3.6,4.11,-2.302,51.54052,5.85307,NL10131
3.29,4.59,13.058,51.54052,5.85307,NL10131
2.66,6.3,10.814,51.54052,5.85307,NL10131
3.6,9.87,1.442,51.54052,5.85307,NL10131
3.92,9.19,9.314,51.54052,5.85307,NL10131
3.92,8.05,3.326,51.54052,5.85307,NL10131
3.92,6.86,13.058,51.54052,5.85307,NL10131
3.6,6.71,18.314,51.54052,5.85307,NL10131
3.92,8.13,22.802,51.54052,5.85307,NL10131
3.92,9.44,5.57,51.54052,5.85307,NL10131
3.92,10.15,8.198,51.54052,5.85307,NL10131
3.6,7.03,17.186,51.54052,5.85307,NL10131
2.98,6.46,-2.674,51.54052,5.85307,NL10131
2.98,6.16,,51.54052,5.85307,NL10131
3.29,5.0,5.57,51.54052,5.85307,NL10131
3.29,3.4,15.686,51.54052,5.85307,NL10131
3.29,2.09,6.698,51.54052,5.85307,NL10131
3.6,2.57,15.314,51.54052,5.85307,NL10131
3.6,2.13,17.558,51.54052,5.85307,NL10131
3.6,3.19,4.814,51.54052,5.85307,NL10131
3.6,2.66,2.822,51.54052,5.85307,NL10131
4.23,2.4,14.558,51.54052,5.85307,NL10131
4.54,2.59,16.31,51.54052,5.85307,NL10131
4.54,2.73,20.678,51.54052,5.85307,NL10131
5.16,3.44,22.31,51.54052,5.85307,NL10131
4.85,6.19,19.058,51.54052,5.85307,NL10131
4.85,8.56,25.058,51.54052,5.85307,NL10131
4.85,9.47,19.934,51.54052,5.85307,NL10131
5.16,12.01,8.57,51.54052,5.85307,NL10131
5.48,10.27,12.314,51.54052,5.85307,NL10131
5.16,10.49,19.814,51.54052,5.85307,NL10131
5.79,11.09,9.818,51.54052,5.85307,NL10131
5.48,12.22,23.81,51.54052,5.85307,NL10131
5.79,11.58,22.058,51.54052,5.85307,NL10131
6.21,10.53,17.306,51.54052,5.85307,NL10131
5.89,15.49,22.802,51.54052,5.85307,NL10131
7.04,17.33,30.302,51.54052,5.85307,NL10131
7.25,19.16,33.302,51.54052,5.85307,NL10131
6.73,14.24,,51.54052,5.85307,NL10131
5.63,17.16,15.062,51.54052,5.85307,NL10131
4.85,28.47,8.066,51.54052,5.85307,NL10131
4.23,28.55,23.81,51.54052,5.85307,NL10131
4.23,28.71,23.054,51.54052,5.85307,NL10131
4.33,23.81,24.062,51.54052,5.85307,NL10131
4.54,19.31,25.55,51.54052,5.85307,NL10131
4.23,12.59,12.062,51.54052,5.85307,NL10131
3.92,10.0,15.566,51.54052,5.85307,NL10131
3.6,7.97,9.062,51.54052,5.85307,NL10131
3.6,7.66,4.19,51.54052,5.85307,NL10131
3.6,9.14,1.322,51.54052,5.85307,NL10131
3.6,9.36,0.326,51.54052,5.85307,NL10131
5.16,8.99,-5.422,51.54052,5.85307,NL10131
7.04,10.67,8.57,51.54052,5.85307,NL10131
6.73,11.17,7.07,51.54052,5.85307,NL10131
6.41,12.79,12.818,51.54052,5.85307,NL10131
6.41,10.04,16.31,51.54052,5.85307,NL10131
5.79,9.3,22.802,51.54052,5.85307,NL10131
5.48,8.54,16.562,51.54052,5.85307,NL10131
4.85,7.27,9.566,51.54052,5.85307,NL10131
4.85,7.83,10.31,51.54052,5.85307,NL10131
4.85,7.35,10.814,51.54052,5.85307,NL10131
4.85,7.98,14.066,51.54052,5.85307,NL10131
7.35,10.57,20.054,51.54052,5.85307,NL10131
7.35,9.06,23.306,51.54052,5.85307,NL10131
7.35,8.19,23.558,51.54052,5.85307,NL10131
7.66,8.22,24.554,51.54052,5.85307,NL10131
6.99,7.14,19.814,51.54052,5.85307,NL10131
6.73,7.98,-3.67,51.54052,5.85307,NL10131
6.73,5.36,8.066,51.54052,5.85307,NL10131
