NH3,NO2,PM10,Lat,Lon,Station
1.08,10.69,7.798,52.803657,5.050509,NL10538
1.15,6.96,11.566,52.803657,5.050509,NL10538
1.27,10.25,14.578,52.803657,5.050509,NL10538
1.52,7.59,5.542,52.803657,5.050509,NL10538
1.77,7.1,3.274,52.803657,5.050509,NL10538
1.71,5.51,2.53,52.803657,5.050509,NL10538
1.67,9.83,10.054,52.803657,5.050509,NL10538
1.58,8.46,10.81,52.803657,5.050509,NL10538
1.46,12.1,,52.803657,5.050509,NL10538
1.46,11.32,2.026,52.803657,5.050509,NL10538
1.58,14.73,10.054,52.803657,5.050509,NL10538
1.02,27.81,13.822,52.803657,5.050509,NL10538
0.52,32.38,9.31,52.803657,5.050509,NL10538
0.65,9.86,28.894,52.803657,5.050509,NL10538
0.58,5.71,1.642,52.803657,5.050509,NL10538
0.58,5.4,5.542,52.803657,5.050509,NL10538
0.58,5.21,8.554,52.803657,5.050509,NL10538
0.58,4.76,2.53,52.803657,5.050509,NL10538
0.71,5.75,1.774,52.803657,5.050509,NL10538
0.71,7.79,7.798,52.803657,5.050509,NL10538
0.71,5.95,7.042,52.803657,5.050509,NL10538
0.71,6.23,16.09,52.803657,5.050509,NL10538
0.77,5.35,20.614,52.803657,5.050509,NL10538
0.77,5.74,12.322,52.803657,5.050509,NL10538
0.8,7.49,20.614,52.803657,5.050509,NL10538
0.77,7.24,25.882,52.803657,5.050509,NL10538
0.77,6.7,16.09,52.803657,5.050509,NL10538
0.84,6.36,13.45,52.803657,5.050509,NL10538
0.9,11.44,16.846,52.803657,5.050509,NL10538
1.08,6.96,4.03,52.803657,5.050509,NL10538
0.77,3.59,17.59,52.803657,5.050509,NL10538
0.71,3.23,14.578,52.803657,5.050509,NL10538
0.71,4.28,13.078,52.803657,5.050509,NL10538
0.71,5.27,,52.803657,5.050509,NL10538
0.65,5.49,17.47,52.803657,5.050509,NL10538
0.65,3.89,9.814,52.803657,5.050509,NL10538
0.65,2.75,10.81,52.803657,5.050509,NL10538
0.65,4.94,13.822,52.803657,5.050509,NL10538
0.71,4.29,22.246,52.803657,5.050509,NL10538
0.71,4.27,12.442,52.803657,5.050509,NL10538
0.71,4.54,25.258,52.803657,5.050509,NL10538
0.77,6.6,21.238,52.803657,5.050509,NL10538
0.96,17.71,25.126,52.803657,5.050509,NL10538
1.21,22.53,22.99,52.803657,5.050509,NL10538
1.33,16.52,14.578,52.803657,5.050509,NL10538
1.4,10.36,14.83,52.803657,5.050509,NL10538
1.4,16.21,8.422,52.803657,5.050509,NL10538
1.4,16.73,22.618,52.803657,5.050509,NL10538
1.38,17.32,15.454,52.803657,5.050509,NL10538
0.58,18.88,13.954,52.803657,5.050509,NL10538
0.52,18.86,4.03,52.803657,5.050509,NL10538
0.71,11.79,1.642,52.803657,5.050509,NL10538
0.96,9.29,,52.803657,5.050509,NL10538
1.08,14.57,,52.803657,5.050509,NL10538
1.02,12.94,9.43,52.803657,5.050509,NL10538
0.9,12.12,5.662,52.803657,5.050509,NL10538
0.71,3.8,34.294,52.803657,5.050509,NL10538
0.58,4.29,1.522,52.803657,5.050509,NL10538
0.65,4.53,,52.803657,5.050509,NL10538
0.71,4.15,13.954,52.803657,5.050509,NL10538
0.71,4.03,25.762,52.803657,5.050509,NL10538
0.58,2.66,11.446,52.803657,5.050509,NL10538
0.58,2.92,13.822,52.803657,5.050509,NL10538
0.65,2.53,13.954,52.803657,5.050509,NL10538
0.71,2.21,22.99,52.803657,5.050509,NL10538
0.71,2.62,28.894,52.803657,5.050509,NL10538
0.77,2.49,28.27,52.803657,5.050509,NL10538
0.78,2.47,31.03,52.803657,5.050509,NL10538
0.84,3.47,22.114,52.803657,5.050509,NL10538
0.84,3.55,25.882,52.803657,5.050509,NL10538
0.79,3.33,11.698,52.803657,5.050509,NL10538
0.7,2.44,11.818,52.803657,5.050509,NL10538
0.38,2.38,19.858,52.803657,5.050509,NL10538
0.4,3.37,21.862,52.803657,5.050509,NL10538
0.4,4.0,12.826,52.803657,5.050509,NL10538
0.96,7.2,21.358,52.803657,5.050509,NL10538
0.9,7.19,26.638,52.803657,5.050509,NL10538
0.9,6.87,24.13,52.803657,5.050509,NL10538
0.96,6.69,27.394,52.803657,5.050509,NL10538
0.9,7.52,,52.803657,5.050509,NL10538
0.9,8.56,11.818,52.803657,5.050509,NL10538
0.78,7.39,25.378,52.803657,5.050509,NL10538
0.52,5.36,13.822,52.803657,5.050509,NL10538
0.58,5.38,14.206,52.803657,5.050509,NL10538
0.65,5.27,17.842,52.803657,5.050509,NL10538
0.65,5.36,23.626,52.803657,5.050509,NL10538
0.71,5.02,21.862,52.803657,5.050509,NL10538
0.71,4.74,8.554,52.803657,5.050509,NL10538
1.02,2.42,17.338,52.803657,5.050509,NL10538
1.17,1.72,40.078,52.803657,5.050509,NL10538
0.96,2.19,3.274,52.803657,5.050509,NL10538
1.02,3.25,27.646,52.803657,5.050509,NL10538
1.08,3.48,31.162,52.803657,5.050509,NL10538
1.08,4.25,26.506,52.803657,5.050509,NL10538
1.02,3.28,26.758,52.803657,5.050509,NL10538
1.08,2.81,22.246,52.803657,5.050509,NL10538
1.08,2.09,22.114,52.803657,5.050509,NL10538
1.15,2.07,28.27,52.803657,5.050509,NL10538
1.21,2.06,26.014,52.803657,5.050509,NL10538
0.85,2.67,33.298,52.803657,5.050509,NL10538
0.52,2.52,11.446,52.803657,5.050509,NL10538
0.52,2.76,7.678,52.803657,5.050509,NL10538
0.46,1.78,11.566,52.803657,5.050509,NL10538
0.4,1.25,19.858,52.803657,5.050509,NL10538
0.4,1.27,,52.803657,5.050509,NL10538
0.46,1.2,21.862,52.803657,5.050509,NL10538
0.46,1.24,13.582,52.803657,5.050509,NL10538
0.52,1.34,21.358,52.803657,5.050509,NL10538
0.52,1.26,14.578,52.803657,5.050509,NL10538
0.52,1.15,16.09,52.803657,5.050509,NL10538
0.58,1.09,16.09,52.803657,5.050509,NL10538
0.71,0.87,22.114,52.803657,5.050509,NL10538
0.9,1.02,28.39,52.803657,5.050509,NL10538
0.9,1.1,24.13,52.803657,5.050509,NL10538
0.9,1.5,22.114,52.803657,5.050509,NL10538
0.9,1.54,27.898,52.803657,5.050509,NL10538
0.9,2.0,22.618,52.803657,5.050509,NL10538
0.96,2.92,25.882,52.803657,5.050509,NL10538
1.02,3.02,28.15,52.803657,5.050509,NL10538
1.02,3.17,25.63,52.803657,5.050509,NL10538
1.08,3.04,21.862,52.803657,5.050509,NL10538
1.15,3.68,25.126,52.803657,5.050509,NL10538
1.21,3.73,28.39,52.803657,5.050509,NL10538
1.15,5.44,25.378,52.803657,5.050509,NL10538
1.27,4.25,27.394,52.803657,5.050509,NL10538
1.21,5.69,29.902,52.803657,5.050509,NL10538
1.08,7.77,26.638,52.803657,5.050509,NL10538
1.02,5.7,24.874,52.803657,5.050509,NL10538
0.9,5.94,25.882,52.803657,5.050509,NL10538
0.46,6.13,,52.803657,5.050509,NL10538
0.47,10.52,11.566,52.803657,5.050509,NL10538
0.47,9.8,16.846,52.803657,5.050509,NL10538
0.58,13.57,27.01,52.803657,5.050509,NL10538
0.58,26.97,29.65,52.803657,5.050509,NL10538
0.58,19.2,14.83,52.803657,5.050509,NL10538
0.58,22.69,13.582,52.803657,5.050509,NL10538
0.65,18.77,23.374,52.803657,5.050509,NL10538
0.65,9.45,9.814,52.803657,5.050509,NL10538
0.71,6.42,13.078,52.803657,5.050509,NL10538
0.77,6.8,16.846,52.803657,5.050509,NL10538
0.84,7.34,10.558,52.803657,5.050509,NL10538
0.84,6.14,15.082,52.803657,5.050509,NL10538
0.84,4.87,16.594,52.803657,5.050509,NL10538
0.84,2.96,24.622,52.803657,5.050509,NL10538
0.96,5.03,27.394,52.803657,5.050509,NL10538
0.96,4.91,21.358,52.803657,5.050509,NL10538
0.96,4.52,25.126,52.803657,5.050509,NL10538
1.02,3.56,26.134,52.803657,5.050509,NL10538
1.02,3.33,25.63,52.803657,5.050509,NL10538
1.08,2.62,24.622,52.803657,5.050509,NL10538
1.08,2.65,28.15,52.803657,5.050509,NL10538
1.08,2.86,24.622,52.803657,5.050509,NL10538
1.08,3.02,27.394,52.803657,5.050509,NL10538
0.52,5.01,25.51,52.803657,5.050509,NL10538
0.52,6.4,29.65,52.803657,5.050509,NL10538
0.52,5.06,24.754,52.803657,5.050509,NL10538
0.58,4.16,22.114,52.803657,5.050509,NL10538
0.52,3.49,27.394,52.803657,5.050509,NL10538
0.58,3.66,20.986,52.803657,5.050509,NL10538
0.71,3.44,30.022,52.803657,5.050509,NL10538
0.77,2.27,20.23,52.803657,5.050509,NL10538
0.84,2.44,26.266,52.803657,5.050509,NL10538
0.84,2.36,20.23,52.803657,5.050509,NL10538
0.96,2.98,24.754,52.803657,5.050509,NL10538
0.77,3.85,28.894,52.803657,5.050509,NL10538
0.71,2.49,18.73,52.803657,5.050509,NL10538
0.65,2.74,34.546,52.803657,5.050509,NL10538
0.64,3.48,19.102,52.803657,5.050509,NL10538
0.65,5.19,27.898,52.803657,5.050509,NL10538
0.58,4.82,28.522,52.803657,5.050509,NL10538
0.71,5.65,37.558,52.803657,5.050509,NL10538
0.34,5.39,31.162,52.803657,5.050509,NL10538
0.15,5.27,29.65,52.803657,5.050509,NL10538
0.15,4.83,32.29,52.803657,5.050509,NL10538
0.15,6.63,28.15,52.803657,5.050509,NL10538
0.08,7.43,,52.803657,5.050509,NL10538
0.08,8.95,17.974,52.803657,5.050509,NL10538
0.21,11.23,22.87,52.803657,5.050509,NL10538
0.21,11.16,13.822,52.803657,5.050509,NL10538
0.15,17.69,14.578,52.803657,5.050509,NL10538
0.15,12.93,13.822,52.803657,5.050509,NL10538
0.15,11.23,11.938,52.803657,5.050509,NL10538
0.21,15.46,21.358,52.803657,5.050509,NL10538
0.21,14.76,25.882,52.803657,5.050509,NL10538
0.27,20.46,17.974,52.803657,5.050509,NL10538
0.27,17.91,26.638,52.803657,5.050509,NL10538
0.34,13.66,4.03,52.803657,5.050509,NL10538
0.4,12.07,13.822,52.803657,5.050509,NL10538
0.4,10.09,7.798,52.803657,5.050509,NL10538
0.46,11.67,11.194,52.803657,5.050509,NL10538
0.46,12.72,13.078,52.803657,5.050509,NL10538
0.52,15.75,19.858,52.803657,5.050509,NL10538
0.52,11.69,13.45,52.803657,5.050509,NL10538
0.52,14.5,21.358,52.803657,5.050509,NL10538
0.58,15.78,17.218,52.803657,5.050509,NL10538
0.58,16.06,23.998,52.803657,5.050509,NL10538
0.58,14.76,18.73,52.803657,5.050509,NL10538
0.77,10.99,16.09,52.803657,5.050509,NL10538
0.71,10.75,13.954,52.803657,5.050509,NL10538
0.84,8.76,19.102,52.803657,5.050509,NL10538
0.84,9.91,,52.803657,5.050509,NL10538
0.6,8.95,44.218,52.803657,5.050509,NL10538
0.46,6.32,24.874,52.803657,5.050509,NL10538
0.58,8.37,32.914,52.803657,5.050509,NL10538
0.4,9.27,25.126,52.803657,5.050509,NL10538
0.46,13.95,25.882,52.803657,5.050509,NL10538
0.4,21.65,28.894,52.803657,5.050509,NL10538
0.52,36.36,14.578,52.803657,5.050509,NL10538
0.65,52.81,13.954,52.803657,5.050509,NL10538
0.71,50.09,13.822,52.803657,5.050509,NL10538
0.77,49.34,16.09,52.803657,5.050509,NL10538
0.9,28.73,8.554,52.803657,5.050509,NL10538
1.08,24.01,8.554,52.803657,5.050509,NL10538
1.08,17.79,8.05,52.803657,5.050509,NL10538
1.08,17.56,6.298,52.803657,5.050509,NL10538
1.08,22.56,9.31,52.803657,5.050509,NL10538
1.02,34.21,11.194,52.803657,5.050509,NL10538
0.9,33.51,17.974,52.803657,5.050509,NL10538
0.84,37.62,25.882,52.803657,5.050509,NL10538
0.84,31.5,13.33,52.803657,5.050509,NL10538
0.84,23.68,-0.11,52.803657,5.050509,NL10538
0.9,6.75,4.414,52.803657,5.050509,NL10538
0.96,6.2,10.81,52.803657,5.050509,NL10538
0.9,5.88,10.81,52.803657,5.050509,NL10538
0.9,9.14,9.31,52.803657,5.050509,NL10538
0.96,11.43,,52.803657,5.050509,NL10538
1.02,12.95,15.706,52.803657,5.050509,NL10538
1.02,12.69,16.342,52.803657,5.050509,NL10538
1.02,8.78,15.586,52.803657,5.050509,NL10538
1.08,11.92,19.858,52.803657,5.050509,NL10538
1.02,10.59,13.33,52.803657,5.050509,NL10538
2.76,17.96,28.27,52.803657,5.050509,NL10538
1.21,17.13,24.502,52.803657,5.050509,NL10538
1.46,23.29,31.162,52.803657,5.050509,NL10538
1.93,22.62,36.562,52.803657,5.050509,NL10538
2.99,18.5,21.994,52.803657,5.050509,NL10538
3.43,11.67,18.094,52.803657,5.050509,NL10538
2.34,7.47,23.626,52.803657,5.050509,NL10538
1.67,7.52,20.614,52.803657,5.050509,NL10538
0.96,4.85,,52.803657,5.050509,NL10538
0.73,4.84,12.322,52.803657,5.050509,NL10538
0.96,2.95,9.934,52.803657,5.050509,NL10538
1.15,5.94,14.71,52.803657,5.050509,NL10538
1.15,8.16,12.826,52.803657,5.050509,NL10538
1.15,10.58,9.934,52.803657,5.050509,NL10538
