NH3,NO2,PM10,Lat,Lon,Station
1.26,8.2,36.044,52.875725,6.932432,NL10929
1.35,6.82,28.124,52.875725,6.932432,NL10929
1.45,6.1,14.924,52.875725,6.932432,NL10929
1.51,5.83,,52.875725,6.932432,NL10929
1.56,5.98,0.584,52.875725,6.932432,NL10929
1.58,5.54,,52.875725,6.932432,NL10929
1.64,4.76,,52.875725,6.932432,NL10929
1.77,5.47,0.584,52.875725,6.932432,NL10929
1.83,5.4,,52.875725,6.932432,NL10929
1.89,5.79,,52.875725,6.932432,NL10929
1.64,5.98,,52.875725,6.932432,NL10929
1.73,6.26,,52.875725,6.932432,NL10929
1.7,7.39,1.472,52.875725,6.932432,NL10929
1.7,7.7,8.636,52.875725,6.932432,NL10929
1.64,7.97,15.296,52.875725,6.932432,NL10929
1.7,6.84,2.468,52.875725,6.932432,NL10929
1.83,5.25,14.42,52.875725,6.932432,NL10929
1.83,4.38,7.376,52.875725,6.932432,NL10929
1.83,3.7,,52.875725,6.932432,NL10929
1.7,2.13,,52.875725,6.932432,NL10929
1.51,2.2,,52.875725,6.932432,NL10929
1.45,2.39,,52.875725,6.932432,NL10929
1.33,3.12,3.224,52.875725,6.932432,NL10929
1.33,4.72,11.9,52.875725,6.932432,NL10929
1.26,4.99,15.68,52.875725,6.932432,NL10929
1.2,4.51,7.004,52.875725,6.932432,NL10929
1.14,3.83,3.224,52.875725,6.932432,NL10929
1.14,4.63,10.772,52.875725,6.932432,NL10929
1.14,6.65,13.916,52.875725,6.932432,NL10929
1.08,6.27,16.052,52.875725,6.932432,NL10929
1.08,7.93,8.888,52.875725,6.932432,NL10929
1.14,7.66,18.692,52.875725,6.932432,NL10929
1.14,7.72,4.616,52.875725,6.932432,NL10929
1.14,11.36,14.168,52.875725,6.932432,NL10929
1.14,12.5,18.32,52.875725,6.932432,NL10929
1.08,10.63,16.052,52.875725,6.932432,NL10929
0.95,5.01,,52.875725,6.932432,NL10929
0.83,7.7,14.168,52.875725,6.932432,NL10929
0.83,9.27,0.212,52.875725,6.932432,NL10929
0.77,8.72,13.796,52.875725,6.932432,NL10929
0.7,11.99,17.936,52.875725,6.932432,NL10929
0.7,11.39,2.468,52.875725,6.932432,NL10929
0.7,13.55,10.52,52.875725,6.932432,NL10929
0.83,11.31,-1.672,52.875725,6.932432,NL10929
0.89,14.7,9.644,52.875725,6.932432,NL10929
0.95,16.82,29.636,52.875725,6.932432,NL10929
0.95,15.24,15.68,52.875725,6.932432,NL10929
1.01,11.31,15.68,52.875725,6.932432,NL10929
1.08,8.38,15.68,52.875725,6.932432,NL10929
1.14,6.78,7.376,52.875725,6.932432,NL10929
1.2,5.71,11.9,52.875725,6.932432,NL10929
1.26,5.27,10.4,52.875725,6.932432,NL10929
1.33,7.05,8.132,52.875725,6.932432,NL10929
1.39,7.7,17.936,52.875725,6.932432,NL10929
1.46,6.48,7.76,52.875725,6.932432,NL10929
1.51,6.18,4.364,52.875725,6.932432,NL10929
1.58,7.01,3.98,52.875725,6.932432,NL10929
1.7,7.93,9.26,52.875725,6.932432,NL10929
1.77,8.46,6.248,52.875725,6.932432,NL10929
1.77,8.49,9.26,52.875725,6.932432,NL10929
1.64,4.68,,52.875725,6.932432,NL10929
1.33,2.1,,52.875725,6.932432,NL10929
1.33,4.98,18.692,52.875725,6.932432,NL10929
1.26,6.85,4.736,52.875725,6.932432,NL10929
1.2,6.27,6.62,52.875725,6.932432,NL10929
1.08,2.5,1.34,52.875725,6.932432,NL10929
0.95,2.32,14.168,52.875725,6.932432,NL10929
0.89,2.57,13.04,52.875725,6.932432,NL10929
0.95,2.93,13.04,52.875725,6.932432,NL10929
0.95,3.59,20.204,52.875725,6.932432,NL10929
0.95,3.85,18.692,52.875725,6.932432,NL10929
0.95,5.61,18.692,52.875725,6.932432,NL10929
0.95,7.22,22.472,52.875725,6.932432,NL10929
0.95,6.53,14.924,52.875725,6.932432,NL10929
0.95,3.54,13.412,52.875725,6.932432,NL10929
0.89,2.31,12.656,52.875725,6.932432,NL10929
0.83,2.4,7.004,52.875725,6.932432,NL10929
0.83,2.94,0.968,52.875725,6.932432,NL10929
0.77,4.28,10.4,52.875725,6.932432,NL10929
0.77,5.37,17.936,52.875725,6.932432,NL10929
0.77,7.07,20.204,52.875725,6.932432,NL10929
0.77,9.07,13.04,52.875725,6.932432,NL10929
0.77,10.34,,52.875725,6.932432,NL10929
0.77,14.6,24.356,52.875725,6.932432,NL10929
0.77,9.88,14.924,52.875725,6.932432,NL10929
0.77,9.55,16.808,52.875725,6.932432,NL10929
0.77,7.68,13.412,52.875725,6.932432,NL10929
0.83,6.82,5.864,52.875725,6.932432,NL10929
0.83,3.97,8.504,52.875725,6.932432,NL10929
0.83,3.47,0.584,52.875725,6.932432,NL10929
0.83,3.57,5.108,52.875725,6.932432,NL10929
0.89,3.49,7.004,52.875725,6.932432,NL10929
0.83,2.15,-0.928,52.875725,6.932432,NL10929
